Gene,HR (95% CI),C-index,p-value,Validation Status
HDAC9,0.21 (0.09-0.49),0.72,<0.001,Validated across 3 cohorts (pooled n=538)
RAB20,2.34 (1.42-3.85),0.66,<0.001,Not replicated in GSE26440
PKM,1.89 (1.21-2.96),0.63,0.005,Consistent direction
CEACAM1,2.12 (1.31-3.43),0.65,0.002,Not externally validated
EPAS1,1.76 (1.14-2.72),0.61,0.011,Consistent direction
TLR5,1.68 (1.09-2.59),0.59,0.019,Not externally validated
ADGRG3,1.71 (1.10-2.66),0.60,0.017,Not externally validated
ALPL,1.83 (1.15-2.91),0.62,0.011,Not externally validated
OLFM4,1.92 (1.20-3.07),0.64,0.006,Not externally validated
FLOT1,1.65 (1.08-2.52),0.58,0.021,Not externally validated
