sample_id,title,group
GSM647527,Septic Shock_biological rep1,sepsis
GSM647528,Septic Shock_biological rep2,sepsis
GSM647529,Septic Shock_biological rep3,sepsis
GSM647530,Septic Shock_biological rep4,sepsis
GSM647531,Septic Shock_biological rep5,sepsis
GSM647532,Septic Shock_biological rep6,sepsis
GSM647533,Control_biological rep1,normal
GSM647534,Control_biological rep2,normal
GSM647535,Septic Shock_biological rep7,sepsis
GSM647536,Control_biological rep3,normal
GSM647537,Control_biological rep4,normal
GSM647538,Control_biological rep5,normal
GSM647539,Control_biological rep6,normal
GSM647540,Septic Shock_biological rep8,sepsis
GSM647541,Septic Shock_biological rep9,sepsis
GSM647542,Septic Shock_biological rep10,sepsis
GSM647543,Septic Shock_biological rep11,sepsis
GSM647544,Septic Shock_biological rep12,sepsis
GSM647545,Septic Shock_biological rep13,sepsis
GSM647546,Septic Shock_biological rep14,sepsis
GSM647547,Septic Shock_biological rep15,sepsis
GSM647548,Septic Shock_biological rep16,sepsis
GSM647549,Septic Shock_biological rep17,sepsis
GSM647550,Septic Shock_biological rep18,sepsis
GSM647551,Septic Shock_biological rep19,sepsis
GSM647552,Septic Shock_biological rep20,sepsis
GSM647553,Septic Shock_biological rep21,sepsis
GSM647554,Septic Shock_biological rep22,sepsis
GSM647555,Septic Shock_biological rep23,sepsis
GSM647556,Septic Shock_biological rep24,sepsis
GSM647557,Septic Shock_biological rep25,sepsis
GSM647558,Septic Shock_biological rep26,sepsis
GSM647559,Septic Shock_biological rep27,sepsis
GSM647560,Septic Shock_biological rep28,sepsis
GSM647561,Septic Shock_biological rep29,sepsis
GSM647562,Septic Shock_biological rep30,sepsis
GSM647563,Septic Shock_biological rep31,sepsis
GSM647564,Septic Shock_biological rep32,sepsis
GSM647565,Septic Shock_biological rep33,sepsis
GSM647566,Control_biological rep7,normal
GSM647567,Septic Shock_biological rep34,sepsis
GSM647568,Septic Shock_biological rep35,sepsis
GSM647569,Septic Shock_biological rep36,sepsis
GSM647570,Septic Shock_biological rep37,sepsis
GSM647571,Septic Shock_biological rep38,sepsis
GSM647572,Septic Shock_biological rep39,sepsis
GSM647573,Septic Shock_biological rep40,sepsis
GSM647574,Septic Shock_biological rep41,sepsis
GSM647575,Control_biological rep8,normal
GSM647576,Septic Shock_biological rep42,sepsis
GSM647577,Septic Shock_biological rep43,sepsis
GSM647578,Septic Shock_biological rep44,sepsis
GSM647579,Septic Shock_biological rep45,sepsis
GSM647580,Septic Shock_biological rep46,sepsis
GSM647581,Septic Shock_biological rep47,sepsis
GSM647582,Septic Shock_biological rep48,sepsis
GSM647583,Septic Shock_biological rep49,sepsis
GSM647584,Septic Shock_biological rep50,sepsis
GSM647585,Septic Shock_biological rep51,sepsis
GSM647586,Septic Shock_biological rep52,sepsis
GSM647587,Septic Shock_biological rep53,sepsis
GSM647588,Septic Shock_biological rep54,sepsis
GSM647589,Control_biological rep9,normal
GSM647590,Control_biological rep10,normal
GSM647591,Septic Shock_biological rep55,sepsis
GSM647592,Septic Shock_biological rep56,sepsis
GSM647593,Septic Shock_biological rep57,sepsis
GSM647594,Septic Shock_biological rep58,sepsis
GSM647595,Septic Shock_biological rep59,sepsis
GSM647596,Septic Shock_biological rep60,sepsis
GSM647597,Septic Shock_biological rep61,sepsis
GSM647598,Septic Shock_biological rep62,sepsis
GSM647599,Septic Shock_biological rep63,sepsis
GSM647600,Septic Shock_biological rep64,sepsis
GSM647601,Septic Shock_biological rep65,sepsis
GSM647602,Septic Shock_biological rep66,sepsis
GSM647603,Septic Shock_biological rep67,sepsis
GSM647604,Control_biological rep11,normal
GSM647605,Control_biological rep12,normal
GSM647606,Control_biological rep13,normal
GSM647607,Control_biological rep14,normal
GSM647608,Control_biological rep15,normal
GSM647609,Septic Shock_biological rep68,sepsis
GSM647610,Septic Shock_biological rep69,sepsis
GSM647611,Septic Shock_biological rep70,sepsis
GSM647612,Septic Shock_biological rep71,sepsis
GSM647613,Septic Shock_biological rep72,sepsis
GSM647614,Septic Shock_biological rep73,sepsis
GSM647615,Septic Shock_biological rep74,sepsis
GSM647616,Septic Shock_biological rep75,sepsis
GSM647617,Septic Shock_biological rep76,sepsis
GSM647618,Septic Shock_biological rep77,sepsis
GSM647619,Septic Shock_biological rep78,sepsis
GSM647620,Septic Shock_biological rep79,sepsis
GSM647621,Control_biological rep16,normal
GSM647622,Control_biological rep17,normal
GSM647623,Control_biological rep18,normal
GSM647624,Control_biological rep19,normal
GSM647625,Control_biological rep20,normal
GSM647626,Control_biological rep21,normal
GSM647627,Septic Shock_biological rep80,sepsis
GSM647628,Septic Shock_biological rep81,sepsis
GSM647629,Septic Shock_biological rep82,sepsis
