,HLA-DQB1,CD74,HLA-DMA,HLA-DPB1
GSM648590,0.107,0.343,0.668,0.0766
GSM648591,2.497,1.041,1.27,1.209
GSM648592,0.796,0.491,1.082,0.569
GSM648593,0.116,0.551,0.847,0.647
GSM648594,0.0841,0.964,1.21,0.988
GSM648595,1.753,0.538,0.638,0.994
GSM648596,0.338,0.175,0.571,0.311
GSM648597,2.189,1.061,1.327,1.162
GSM648598,0.0986,0.589,0.578,0.779
GSM648599,0.108,0.578,0.373,0.153
GSM648600,0.0844,0.313,0.352,0.571
GSM648601,0.902,0.422,0.678,0.456
GSM648602,0.619,0.563,0.629,0.374
GSM648603,1.789,0.639,0.858,0.622
GSM648604,0.469,0.82,0.352,0.523
GSM648605,0.55,0.386,0.262,0.21
GSM648606,0.882,0.786,0.626,0.62
GSM648607,0.682,1.118,0.82,1.093
GSM648608,0.578,0.717,0.342,0.292
GSM648609,0.829,0.779,0.466,0.605
GSM648610,0.0688,0.446,0.173,0.243
GSM648611,0.965,1.062,0.757,1.302
GSM648612,2.118,0.891,0.835,1.517
GSM648613,0.0853,0.961,0.599,0.67
GSM648614,0.083,0.374,0.309,0.718
GSM648615,0.0706,0.541,0.658,0.173
GSM648616,0.0878,0.873,1.133,1.258
GSM648617,1.084,0.372,0.794,0.702
GSM648618,0.956,1.088,1.007,2.364
GSM648619,1.472,0.738,0.776,1.181
GSM648620,0.759,0.46,0.662,0.433
GSM648621,1.301,0.621,0.715,0.747
GSM648622,1.79,0.801,0.739,0.738
GSM648623,0.0873,1.01,1.071,1.787
GSM648624,0.776,0.838,0.531,1.147
GSM648625,1.773,0.647,0.654,1.132
GSM648626,1.772,0.851,1.003,0.63
GSM648627,1.146,1.295,0.919,1.046
GSM648628,0.582,1.22,0.958,0.622
GSM648629,0.751,0.893,0.551,0.306
GSM648630,6.999,1.256,1.001,0.976
GSM648631,4.122,1.515,1.113,1.062
GSM648632,0.0648,1.164,0.923,1.324
GSM648633,0.11,0.543,0.815,0.609
GSM648634,0.139,0.433,0.346,0.131
