sample_id,Mars_Type,cohort,IPS_score,IPS_group
GSM1602802,Mars2,Discovery,0.020137833487183687,Low
GSM1602803,Mars2,Discovery,0.05132669831574201,Low
GSM1602805,Mars2,Discovery,0.0698275954954404,Low
GSM1602810,Mars3,Discovery,0.0788413688660175,Low
GSM1602811,Mars4,Discovery,0.050633988102910414,Low
GSM1602812,Mars1,Discovery,0.09093896526898076,Low
GSM1602813,Mars1,Discovery,0.10458918530177083,Low
GSM1602815,Mars2,Discovery,0.15573028944539566,Low
GSM1602816,Mars3,Discovery,0.08789130575741798,Low
GSM1602818,Mars1,Discovery,0.8510337292415187,High
GSM1602819,Mars2,Discovery,0.22854200208061184,Low
GSM1602820,Mars3,Discovery,0.09471591375738757,Low
GSM1602823,Mars1,Discovery,0.13173397160373038,Low
GSM1602824,Mars1,Discovery,0.32337825359388384,High
GSM1602825,Mars2,Discovery,0.1859731211049898,Low
GSM1602826,Mars2,Discovery,0.17834335435163368,Low
GSM1602827,Mars3,Discovery,0.02833512434326521,Low
GSM1602829,Mars2,Discovery,0.1133795843083896,Low
GSM1602830,Mars2,Discovery,0.04057039282197753,Low
GSM1602831,Mars2,Discovery,0.020934920200355908,Low
GSM1602832,Mars3,Discovery,0.0519637656357236,Low
GSM1602834,Mars2,Discovery,0.06384120482433787,Low
GSM1602836,Mars3,Discovery,0.2940687830338365,Low
GSM1602837,Mars2,Discovery,0.017644407407815938,Low
GSM1602838,Mars3,Discovery,0.023085811083453093,Low
GSM1602839,Mars2,Discovery,0.052402394395221964,Low
GSM1602840,Mars2,Discovery,0.2627427088745503,Low
GSM1602841,Mars2,Discovery,0.1167647538813306,Low
GSM1602842,Mars2,Discovery,0.041511424518265984,Low
GSM1602843,Mars4,Discovery,0.23857127755418162,Low
GSM1602844,Mars2,Discovery,0.1829624408612751,Low
GSM1602845,Mars2,Discovery,0.31487080431055575,Low
GSM1602846,Mars3,Discovery,0.02766760872388175,Low
GSM1602847,Mars3,Discovery,0.04618673050208114,Low
GSM1602848,Mars1,Discovery,0.3167146810825159,High
GSM1602849,Mars4,Discovery,0.029397254195119533,Low
GSM1602850,Mars2,Discovery,0.14654082017267184,Low
GSM1602851,Mars3,Discovery,0.06058137761893119,Low
GSM1602852,Mars1,Discovery,0.15574037621869985,Low
GSM1602853,Mars3,Discovery,0.14239820842912723,Low
GSM1602855,Mars2,Discovery,0.05185851914726566,Low
GSM1602856,Mars3,Discovery,0.04288531560486059,Low
GSM1602857,Mars3,Discovery,0.4007787791222925,High
GSM1602858,Mars2,Discovery,0.3574964955955707,High
GSM1602859,Mars2,Discovery,0.027794606540268982,Low
GSM1602860,Mars3,Discovery,0.18530894623070668,Low
GSM1602861,Mars2,Discovery,0.32756081836063033,High
GSM1602863,Mars2,Discovery,0.11015513654445637,Low
GSM1602866,Mars4,Discovery,0.04109044396456576,Low
GSM1602868,Mars4,Discovery,0.06345400844666858,Low
GSM1602869,Mars1,Discovery,0.42628578965782893,High
GSM1602873,Mars2,Discovery,0.049998332729126536,Low
GSM1602878,Mars1,Discovery,0.21965702931865178,Low
GSM1602879,Mars3,Discovery,0.17178314610732637,Low
GSM1602880,Mars3,Discovery,0.3618084754398541,High
GSM1602881,Mars3,Discovery,0.06471304706813606,Low
GSM1602882,Mars3,Discovery,0.29303425954774676,Low
GSM1602883,Mars2,Discovery,0.13002044009656824,Low
GSM1602885,Mars2,Discovery,0.19784890067772165,Low
GSM1602886,Mars3,Discovery,0.03908775926894327,Low
GSM1602888,Mars3,Discovery,0.12101503072205941,Low
GSM1602889,Mars2,Discovery,0.1268012471767779,Low
GSM1602902,Mars2,Discovery,0.3981383761042203,High
GSM1602903,Mars1,Discovery,0.496651953801849,High
GSM1602906,Mars3,Discovery,0.14125156749699574,Low
GSM1602907,Mars4,Discovery,0.1886633178519404,Low
GSM1602908,Mars1,Discovery,0.37083203860942293,High
GSM1602912,Mars3,Discovery,0.08091390026855882,Low
GSM1602921,Mars4,Discovery,0.21280251395284724,Low
GSM1602922,Mars2,Discovery,0.33069688796707924,High
GSM1602923,Mars2,Discovery,0.06746274220738804,Low
GSM1602924,Mars2,Discovery,0.23882563098998422,Low
GSM1602925,Mars4,Discovery,0.27754849606145693,Low
GSM1602927,Mars4,Discovery,0.12186184359580671,Low
GSM1602928,Mars2,Discovery,0.23530276624980687,Low
GSM1602929,Mars2,Discovery,0.32899080536297104,High
GSM1602930,Mars3,Discovery,0.05863768568420241,Low
GSM1602931,Mars4,Discovery,0.44085838671611915,High
GSM1602932,Mars2,Discovery,0.20559874336140516,Low
GSM1602933,Mars1,Discovery,0.18841789342872003,Low
GSM1602934,Mars4,Discovery,0.2882107509546893,Low
GSM1602935,Mars1,Discovery,0.5264323401411998,High
GSM1602936,Mars2,Discovery,0.3159313472916757,Low
GSM1602937,Mars1,Discovery,0.20827851603115782,Low
GSM1602940,Mars1,Discovery,0.6627346985070849,High
GSM1602942,Mars2,Discovery,0.09402921060556188,Low
GSM1602943,Mars3,Discovery,0.08197018428199378,Low
GSM1602944,Mars3,Discovery,0.24584522359860408,Low
GSM1602945,Mars4,Discovery,0.05401983826826054,Low
GSM1602946,Mars2,Discovery,0.17837267854702113,Low
GSM1602950,Mars3,Discovery,0.05899682099272382,Low
GSM1602952,Mars3,Discovery,0.1398057563331862,Low
GSM1602953,Mars1,Discovery,0.41971778779992625,High
GSM1602958,Mars4,Discovery,0.6333144104184916,High
GSM1602968,Mars1,Discovery,0.2894929567339939,Low
GSM1602973,Mars1,Discovery,0.49900487385222103,High
GSM1602974,Mars1,Discovery,0.8932610413543352,High
GSM1602975,Mars2,Discovery,0.11180660211794535,Low
GSM1602976,Mars1,Discovery,0.6114902872267156,High
GSM1691861,Mars1,Validation,0.3216244060790982,High
GSM1691863,Mars2,Validation,0.07670184817532472,Low
GSM1691864,Mars3,Validation,0.17660220888587502,Low
GSM1691865,Mars2,Validation,0.7109937948962651,High
GSM1691866,Mars1,Validation,0.16574330361550052,Low
GSM1691867,Mars1,Validation,0.20514500427269325,Low
GSM1691868,Mars1,Validation,0.5958063138757307,High
GSM1691871,Mars2,Validation,0.2274377978006805,Low
GSM1691873,Mars3,Validation,0.20677695512980937,Low
GSM1691874,Mars4,Validation,0.09974119012580455,Low
GSM1691875,Mars2,Validation,0.09265207681431878,Low
GSM1691877,Mars1,Validation,0.20382996312054955,Low
GSM1691878,Mars2,Validation,0.18513592679842497,Low
GSM1691880,Mars1,Validation,0.28322924474112293,Low
GSM1691882,Mars2,Validation,0.08730141901162002,Low
GSM1691883,Mars4,Validation,0.15184844133227945,Low
GSM1691884,Mars3,Validation,0.18693713242267865,Low
GSM1691885,Mars2,Validation,0.07775973587200795,Low
GSM1691886,Mars4,Validation,0.04115517605015791,Low
GSM1691890,Mars4,Validation,0.03838199633247837,Low
GSM1691893,Mars1,Validation,0.24766154007345764,Low
GSM1691895,Mars3,Validation,0.019383032677582835,Low
GSM1691896,Mars3,Validation,0.24690458189054343,Low
GSM1691897,Mars3,Validation,0.22870312346580476,Low
GSM1691898,Mars1,Validation,0.036661721761265066,Low
GSM1691900,Mars3,Validation,0.2948377588118349,Low
GSM1691901,Mars2,Validation,0.3341485726610668,High
GSM1691903,Mars1,Validation,0.2305724274373217,Low
GSM1691904,Mars2,Validation,0.04140462827079707,Low
GSM1691905,Mars3,Validation,0.09225094683625447,Low
GSM1691909,Mars2,Validation,0.042916090362180755,Low
GSM1691911,Mars3,Validation,0.035228887164369296,Low
GSM1691915,Mars2,Validation,0.048807110452615134,Low
