,LASSO_coef,RF_importance,LASSO_rank,RF_rank,Combined_rank
235568_at,3.2307786877020463,0.12379819981089592,1.0,1.0,1.0
209369_at,0.09221713020866838,0.07467061483304718,5.0,4.0,4.5
206177_s_at,0.07564073401845946,0.026962524782031788,6.0,13.0,9.5
205844_at,0.05445036279028792,0.014690622324995717,7.0,17.0,12.0
203725_at,0.03234392831905833,0.012894312683455644,8.0,18.0,13.0
214511_x_at,0.4850530017758422,0.006126502017772292,3.0,27.0,15.0
219669_at,0.0,0.10701836214106462,29.5,2.0,15.75
207329_at,0.0,0.08517939020228552,29.5,3.0,16.25
208470_s_at,0.0,0.0716405588644943,29.5,5.0,17.25
206697_s_at,0.0,0.05634932983360342,29.5,6.0,17.75
202018_s_at,0.7182012769773306,0.002189690199794178,2.0,34.0,18.0
224707_at,0.0,0.05188636872348517,29.5,7.0,18.25
201554_x_at,0.0,0.05105823983646121,29.5,8.0,18.75
220570_at,0.0,0.044511033986473214,29.5,9.0,19.25
1555728_a_at,0.0,0.03877061794942785,29.5,10.0,19.75
231688_at,0.0,0.033029835504428715,29.5,11.0,20.25
219607_s_at,0.0,0.02998943545985341,29.5,12.0,20.75
223767_at,0.0,0.023897340924354554,29.5,14.0,21.75
231049_at,0.0,0.017638759419418462,29.5,15.0,22.25
212768_s_at,0.0,0.01592330682187767,29.5,16.0,22.75
1558549_s_at,0.0,0.011690489512851983,29.5,19.0,24.25
227055_at,0.0,0.01065319473127462,29.5,20.0,24.75
210997_at,0.0,0.009693397642296967,29.5,21.0,25.25
233126_s_at,0.0,0.009336686200516559,29.5,22.0,25.75
239196_at,0.0,0.008909785784675973,29.5,23.0,26.25
236407_at,0.0,0.0065340989825927375,29.5,24.0,26.75
205403_at,0.2874262656460615,0.0,4.0,50.0,27.0
206371_at,0.0,0.006213202353233226,29.5,25.0,27.25
216950_s_at,0.0,0.0061805885290941555,29.5,26.0,27.75
219890_at,0.0,0.006107023311055607,29.5,28.0,28.75
241981_at,0.0,0.005668213575965202,29.5,29.0,29.25
211549_s_at,0.0,0.00429445668511307,29.5,30.0,29.75
238439_at,0.0,0.004216181947078016,29.5,31.0,30.25
209992_at,0.0,0.004026264409295466,29.5,32.0,30.75
211372_s_at,0.0,0.0023683291672135947,29.5,33.0,31.25
212531_at,0.0,0.002011235308470331,29.5,35.0,32.25
219975_x_at,0.0,0.0019263341988118605,29.5,36.0,32.75
215049_x_at,0.0,0.0019230548609432236,29.5,37.0,33.25
242945_at,0.0,0.0015902369232742117,29.5,38.0,33.75
228285_at,0.0,0.001296932385981763,29.5,39.0,34.25
231122_x_at,0.0,0.0011370189202996284,29.5,40.0,34.75
205557_at,0.0,0.0010073881227132004,29.5,41.0,35.25
206676_at,0.0,0.0009585405863516926,29.5,42.0,35.75
212793_at,0.0,0.0008192144453182541,29.5,43.0,36.25
203645_s_at,0.0,0.0005812396130104467,29.5,44.0,36.75
206576_s_at,0.0,0.00058040258621654,29.5,45.0,37.25
219295_s_at,0.0,0.0005758705117067925,29.5,46.0,37.75
207802_at,0.0,0.0005298353909465022,29.5,47.0,38.25
203913_s_at,0.0,0.0005277411799150929,29.5,48.0,38.75
1552773_at,0.0,0.0004179958145624867,29.5,49.0,39.25
