FPR,TPR,Dataset
0.0,0.0,Training
0.0,0.012195121951219513,Training
0.0,0.7317073170731707,Training
0.047619047619047616,0.7317073170731707,Training
0.047619047619047616,0.7439024390243902,Training
0.14285714285714285,0.7439024390243902,Training
0.14285714285714285,0.8658536585365854,Training
0.23809523809523808,0.8658536585365854,Training
0.23809523809523808,0.8780487804878049,Training
0.2857142857142857,0.8780487804878049,Training
0.2857142857142857,0.8902439024390244,Training
0.3333333333333333,0.8902439024390244,Training
0.3333333333333333,0.9024390243902439,Training
0.38095238095238093,0.9024390243902439,Training
0.38095238095238093,0.926829268292683,Training
0.5238095238095238,0.926829268292683,Training
0.5238095238095238,0.9634146341463414,Training
0.6190476190476191,0.9634146341463414,Training
0.6190476190476191,0.975609756097561,Training
0.6666666666666666,0.975609756097561,Training
0.6666666666666666,0.9878048780487805,Training
0.7142857142857143,0.9878048780487805,Training
0.7142857142857143,1.0,Training
1.0,1.0,Training
0.0,0.0,Validation
0.0,0.01020408163265306,Validation
0.0,0.8061224489795918,Validation
0.03125,0.8061224489795918,Validation
0.03125,0.826530612244898,Validation
0.0625,0.826530612244898,Validation
0.0625,0.8571428571428571,Validation
0.125,0.8571428571428571,Validation
0.125,0.9285714285714286,Validation
0.15625,0.9285714285714286,Validation
0.15625,0.9693877551020408,Validation
0.3125,0.9693877551020408,Validation
0.3125,0.9795918367346939,Validation
0.4375,0.9795918367346939,Validation
0.4375,0.9897959183673469,Validation
0.6875,0.9897959183673469,Validation
0.6875,1.0,Validation
1.0,1.0,Validation
