sample_id,dataset,ips_score,predicted_class
GSM648590,GSE26440,0.3100187042857001,Immunoparalysis
GSM648591,GSE26440,0.026566881759339123,Non-paralysis
GSM648592,GSE26440,0.26238899533527066,Non-paralysis
GSM648593,GSE26440,0.2275593762908265,Non-paralysis
GSM648594,GSE26440,0.14394192554107052,Non-paralysis
GSM648595,GSE26440,0.31783580779909404,Immunoparalysis
GSM648596,GSE26440,0.860335782395559,Immunoparalysis
GSM648597,GSE26440,0.10069117850357434,Non-paralysis
GSM648598,GSE26440,0.06535387211597747,Non-paralysis
GSM648599,GSE26440,0.24829551144555612,Non-paralysis
GSM648600,GSE26440,0.23234027617912573,Non-paralysis
GSM648601,GSE26440,0.367328708202965,Immunoparalysis
GSM648602,GSE26440,0.17413981931715736,Non-paralysis
GSM648603,GSE26440,0.08701888849882185,Non-paralysis
GSM648604,GSE26440,0.22852070351815104,Non-paralysis
GSM648605,GSE26440,0.5502526036672492,Immunoparalysis
GSM648606,GSE26440,0.39331795231629635,Immunoparalysis
GSM648607,GSE26440,0.026550320208528506,Non-paralysis
GSM648608,GSE26440,0.06407410271866844,Non-paralysis
GSM648609,GSE26440,0.09556861250768015,Non-paralysis
GSM648610,GSE26440,0.4790838923730607,Immunoparalysis
GSM648611,GSE26440,0.07930218732244308,Non-paralysis
GSM648612,GSE26440,0.060774929933966715,Non-paralysis
GSM648613,GSE26440,0.19522350224480892,Non-paralysis
GSM648614,GSE26440,0.3316002533743318,Immunoparalysis
GSM648615,GSE26440,0.6383502558103212,Immunoparalysis
GSM648616,GSE26440,0.1790664185573245,Non-paralysis
GSM648617,GSE26440,0.340239584275753,Immunoparalysis
GSM648618,GSE26440,0.0030134706842665543,Non-paralysis
GSM648619,GSE26440,0.06994918019553815,Non-paralysis
GSM648620,GSE26440,0.37739007668889574,Immunoparalysis
GSM648621,GSE26440,0.17438641911988328,Non-paralysis
GSM648622,GSE26440,0.11286091767567752,Non-paralysis
GSM648623,GSE26440,0.0812085339590125,Non-paralysis
GSM648624,GSE26440,0.028863849988090672,Non-paralysis
GSM648625,GSE26440,0.2793962307194438,Non-paralysis
GSM648626,GSE26440,0.18348571633816083,Non-paralysis
GSM648627,GSE26440,0.031589204020035934,Non-paralysis
